City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Tambacounda,13.7539,-13.7586,82.45,89,0,4.61,SN,2022-07-14 01:39:07
68,Ambilobe,-13.2,49.05,64.96,84,2,4.21,MG,2022-07-14 01:39:08
69,Ancud,-41.8697,-73.8203,41.23,88,100,11.54,CL,2022-07-14 01:39:08
70,Saskylakh,71.9167,114.0833,47.21,61,100,9.04,RU,2022-07-14 01:39:08
71,Belaya Gora,68.5333,146.4167,56.12,63,100,9.1,RU,2022-07-14 01:39:09
72,Barrow,71.2906,-156.7887,42.82,70,0,16.11,US,2022-07-14 01:39:09
73,Hobyo,5.3505,48.5268,77.72,77,85,22.28,SO,2022-07-14 01:39:09
74,Iqaluit,63.7506,-68.5145,40.73,86,75,8.05,CA,2022-07-14 01:38:13
75,Yulara,-25.2406,130.9889,55.24,47,0,17.27,AU,2022-07-14 01:36:09
76,Pevek,69.7008,170.3133,38.95,78,100,11.7,RU,2022-07-14 01:39:10
77,Kirakira,-10.4544,161.9205,84.52,56,8,3.62,SB,2022-07-14 01:39:10
78,Atuona,-9.8,-139.0333,77.74,74,26,19.04,PF,2022-07-14 01:39:10
79,Ormara,25.2088,64.6357,84.04,87,47,7.38,PK,2022-07-14 01:39:11
80,Tuktoyaktuk,69.4541,-133.0374,41.0,87,100,19.57,CA,2022-07-14 01:39:11
81,Cape Town,-33.9258,18.4232,58.87,93,75,16.11,ZA,2022-07-14 01:39:11
82,Butaritari,3.0707,172.7902,82.18,78,5,18.1,KI,2022-07-14 01:39:12
83,Ponta Delgada,37.7333,-25.6667,68.5,82,40,6.91,PT,2022-07-14 01:39:12
84,Cherskiy,68.75,161.3,54.9,48,32,19.66,RU,2022-07-14 01:35:45
85,Puerto Escondido,15.85,-97.0667,80.29,82,95,1.83,MX,2022-07-14 01:38:19
86,Rafaela,-31.2503,-61.4867,53.01,52,0,3.0,AR,2022-07-14 01:39:13
87,Chokurdakh,70.6333,147.9167,55.87,41,1,10.16,RU,2022-07-14 01:39:13
88,Sao Filipe,14.8961,-24.4956,73.69,81,30,11.07,CV,2022-07-14 01:39:13
89,Dekar,-21.5333,21.9333,50.56,48,3,3.53,BW,2022-07-14 01:39:14
90,Yumen,40.2833,97.2,74.14,32,100,6.6,CN,2022-07-14 01:39:14
91,San Ignacio,17.1561,-89.0714,78.94,94,0,0.0,BZ,2022-07-14 01:39:14
92,Cabo San Lucas,22.8909,-109.9124,90.7,45,0,11.5,MX,2022-07-14 01:36:41
93,Mmabatho,-25.85,25.6333,42.76,70,0,2.3,ZA,2022-07-14 01:40:15
94,Komsomolskiy,40.4272,71.7189,70.52,52,0,6.91,UZ,2022-07-14 01:40:15
95,Sinjai,-5.1241,120.253,75.51,94,97,3.44,ID,2022-07-14 01:40:16
96,Guayaramerin,-10.8368,-65.3614,78.31,71,92,1.88,BO,2022-07-14 01:40:16
